ID,Author,Text,Date,Like_Count,Retweet_Count,Reply_Count,URL
1951970786597589483,eczozgurozel,"Erdoğan, “Bizim Filistin hassasiyetimizi sorgulayamazlar” demiş.

Ben, senin Filistin hassasiyetini sorgulamıyorum.

Çünkü sende Filistin hassasiyeti YOK, Trump hassasiyeti VAR! https://t.co/sjBPBMvAhn",Sun Aug 03 11:37:56 +0000 2025,14583,1880,985,https://twitter.com/eczozgurozel/status/1951970786597589483
1951729504399069424,eczozgurozel,"Erdoğan çıktı, ‘Büyük müjde vereceğim’ dediği toplantıda ‘Türk, Kürt, Arap’ dedi.

Amerika’nın büyükelçisi çıktı, Türkiye’ye mezhepsel bir yönetim önerdi.

Hepsini tek tek, not ediyoruz.

Amerika’nın büyükelçisine de Erdoğan’a da söylüyorum:

Hiç kimseye Cumhuriyet çatısını yıkıp mezhep çatısı kurdurtmayız!",Sat Aug 02 19:39:09 +0000 2025,22080,3020,1159,https://twitter.com/eczozgurozel/status/1951729504399069424
1951554769182663116,eczozgurozel,"Ak Toroslar Çetesi’nin şımartılmış savcıları, İETT’nin gariban memurlarını azılı suçlu gibi teşhir etti.

Erdoğan sen, İETT’de şoförlük yaptın. Şimdi İmamoğlu’na hırsından kendi kurumunu aşağılatıyorsun.

Hiçbir vesayeti kabul etmiyorum. O çeteyi ya dağıt, ya da biz dağıtacağız. https://t.co/WLlKDsowrH",Sat Aug 02 08:04:49 +0000 2025,18287,2632,797,https://twitter.com/eczozgurozel/status/1951554769182663116
1951359702014832982,eczozgurozel,"Bugün Aksaray meydanından dolup taşan on binlere teşekkür ediyorum.

Kimse unutmasın:

İşçi kurtulmadan, emekli kurtulmaz!

Gençler kurtulmadan polisler kurtulmaz!

Hep beraber birleşmezsek hiç kimse kurtulmaz.

Kurtuluş yok tek başına, ya hep beraber ya hiçbirimiz! https://t.co/ZviuVeyjwK",Fri Aug 01 19:09:42 +0000 2025,20330,2477,933,https://twitter.com/eczozgurozel/status/1951359702014832982
1951326259012837482,eczozgurozel,"Aksaray’dayız! Adaletin, emeğin, milletin sesi olmak için meydanlardayız! https://t.co/LfDccJSYLM",Fri Aug 01 16:56:48 +0000 2025,8679,1498,486,https://twitter.com/eczozgurozel/status/1951326259012837482
1951291110589972968,eczozgurozel,"Bugün Ankara Kahramankazan’da esnaf ziyaretine çıktık.

Maaşlara değil fiyatlara zam gelen bu düzende, satan da dertli, alan da dertli.

Sokağa çıkamayanlar, esnafa, pazara gidemeyenler milletin halinden anlamaz.

Bu kara düzeni biz kurmadık ama söz veriyoruz, biz değiştireceğiz. https://t.co/qANvbh9ZkB",Fri Aug 01 14:37:08 +0000 2025,10456,1406,420,https://twitter.com/eczozgurozel/status/1951291110589972968
1951231911441125547,eczozgurozel,Ankara Kahramankazan Ulu Cami’de cuma namazı sonrası gazetecilerin sorularını yanıtlıyorum. https://t.co/ee1ivkUY2v,Fri Aug 01 10:41:54 +0000 2025,3572,478,847,https://twitter.com/eczozgurozel/status/1951231911441125547
1951188132080263348,eczozgurozel,Türk Havacılık ve Uzay Sanayii ziyaretimizin ardından açıklama yapıyorum. https://t.co/Zt0NALgGug,Fri Aug 01 07:47:56 +0000 2025,2909,425,380,https://twitter.com/eczozgurozel/status/1951188132080263348
1951156007322656887,eczozgurozel,"Biz, 'bitti' demeden bitmeyecek!

Türkiye’nin bütün demokratları, karşımızdaki kötülüğe, kumpaslara, darbecilere karşı birlikte mücadele ediyoruz. 

Bu akşam adalet için Aksaray'da buluşuyoruz!

🗓️1 Ağustos Cuma
⏰19.30
📍15 Temmuz Milli İrade Meydanı (Hükümet Meydanı) https://t.co/w4NolL8V2a",Fri Aug 01 05:40:17 +0000 2025,12842,1704,1197,https://twitter.com/eczozgurozel/status/1951156007322656887
1950906031439270199,eczozgurozel,Kocaeli Kandıra Cezaevi ziyaretimizin ardından açıklama yapıyorum. https://t.co/x60mwPPqEx,Thu Jul 31 13:06:58 +0000 2025,3384,467,851,https://twitter.com/eczozgurozel/status/1950906031439270199
1950812970348654894,eczozgurozel,Sözcü TV’de Özlem Gürses’in sorularını yanıtlıyorum. https://t.co/eM49bcLt9O,Thu Jul 31 06:57:11 +0000 2025,5110,868,1624,https://twitter.com/eczozgurozel/status/1950812970348654894
1950645048267129109,eczozgurozel,"Rüzgarı sert, insanı mert Şile’nin mücadelesine teşekkür ediyorum.

Tüm Türkiye’ye sesleniyorum:

Son seçimleri kazanan, tüm anketlerde birinci olan, darbeye meydan meydan direnen, barışın da mücadelenin de güvencesi olan Cumhuriyet Halk Partisi’ne güvenin!

Kimseye istediği gibi at oynattırmayacağız!",Wed Jul 30 19:49:55 +0000 2025,17349,1993,2058,https://twitter.com/eczozgurozel/status/1950645048267129109
1950607706043335003,eczozgurozel,"Şile’deyiz! Bakan evlatlarının devri bitecek, vatan evlatlarının devri başlayacak! https://t.co/ar8QpEAFLy",Wed Jul 30 17:21:32 +0000 2025,10570,1635,1288,https://twitter.com/eczozgurozel/status/1950607706043335003
