ID,Author,Text,Date,Like_Count,Retweet_Count,Reply_Count,URL
1948392765357731960,kilicdarogluk,"Türkiye Büyük Millet Meclisi’nin, uluslararası arenada Türk Milleti’nin boyunduruk altına alınamayacağını bir kez daha bütün dünyaya kabul ve ilan ettirdiği Lozan Barış Antlaşması’nın 102’nci yıl dönümünde;

Başta Büyük Önder Gazi Mustafa Kemal Atatürk ve antlaşmanın mimarlarından, büyük devlet adamı İsmet İnönü olmak üzere;
vatanın bütünlüğü ve milletin selameti için canları pahasına mücadele veren bütün Milli Mücadele kahramanlarımızı
minnetle anıyor, aziz hatıraları önünde saygıyla eğiliyorum.",Thu Jul 24 14:40:09 +0000 2025,2042,311,471,https://twitter.com/kilicdarogluk/status/1948392765357731960
1948089858620014828,kilicdarogluk,"Eskişehir’de orman yangını esnasında yaşamını yitiren 11 kahraman orman emekçisi kardeşimizin vefat haberi içimizi yaktı.

Şehitlerimize Allah’tan rahmet,
acılı ailelerine başsağlığı ve sabırlar diliyorum.
Mekanları cennet, ruhları şad olsun.

Milletimizin başı sağ olsun.",Wed Jul 23 18:36:30 +0000 2025,2294,329,299,https://twitter.com/kilicdarogluk/status/1948089858620014828
1947991291851088252,kilicdarogluk,"Kardeşimi henüz kaybetmiş biri olarak,
bir kez daha anladım ki; ölüm dışında her şeyin bir çaresi vardır.

Sağlık sorunları çok ciddi boyutlara ulaşmış olan 
Belediye Başkanımız Mehmet Murat Çalık’ın,
bir an önce tahliye edilerek tedavisinin uygun şartlar altında yapılması gerekmektedir.

Murat Bey’in annesinin, çocuklarının, eşinin ve kardeşlerinin vicdanlarında
telafisi mümkün olmayan yaralar açılmasına müsaade edilmemelidir.

Murat Bey’e Allah’tan acil şifalar diliyorum.

Bu vesileyle, kardeşimin vefatından dolayı arayarak acımızı paylaşan herkese teşekkür ederim.",Wed Jul 23 12:04:50 +0000 2025,5190,553,1316,https://twitter.com/kilicdarogluk/status/1947991291851088252
1946963406247833799,kilicdarogluk,"Partimizin Bursa Milletvekilliği ve
Genel Başkan Yardımcılığı görevlerini yapmış,
hem bilim dünyasına hem de siyasete büyük katkılar sunmuş Prof. Dr. Lale Karabıyık Hanımefendi’yi genç yaşında kaybetmenin
derin üzüntüsünü yaşıyoruz.

Merhumeye Allah’tan rahmet, kederli ailesine, sevenlerine ve partimiz camiasına başsağlığı diliyorum.
Mekânı cennet olsun.",Sun Jul 20 16:00:23 +0000 2025,1947,232,404,https://twitter.com/kilicdarogluk/status/1946963406247833799
1946944946013171862,kilicdarogluk,"Kuzey Kıbrıs Türk Cumhuriyeti’nin varlığı ve bağımsızlığı, tartışmalara ve pazarlıklara kapalıdır.

Kıbrıs Barış Harekâtı’nın 51’inci yıldönümünde;
adaya barış ve istikrarı götüren,
Türk Milleti’nin adadaki mevcudiyetini
bağımsız bir devlet statüsünde
dünyaya ilan eden;

Başta Kıbrıs Fatihi, rahmetli Başbakanımız Bülent Ecevit’e,
Başbakan Yardımcısı, rahmetli Necmettin Erbakan’a,
Kurucu Kuzey Kıbrıs Türk Cumhuriyeti Cumhurbaşkanı Sayın Rauf Denktaş’a,
Türk Silahlı Kuvvetleri komuta kademesine,
Kahraman Şehitlerimize ve Aziz Gazilerimize
saygı ve minnetlerimi sunuyorum.",Sun Jul 20 14:47:02 +0000 2025,1988,262,353,https://twitter.com/kilicdarogluk/status/1946944946013171862
1946573790218969152,kilicdarogluk,"Partimizin Genel Başkanlığını yapmış Sayın Altan Öymen’in vefatını derin bir üzüntüyle öğrendim.

Gazetecilik yaptığı dönemde milletimizin haber alma özgürlüğüne,
Bakanlık yaptığı dönemde Devletimize,
Genel Başkanlık yaptığı dönemde ve sonrasında hem Cumhuriyet Halk Partisine hem de siyaset kurumuna büyük katkıları ve hizmetleri olan, iyi bir devlet adamı; aynı zamanda iyi bir entelektüel olan Genel Başkanımıza, 
Allah’tan rahmet; acılı ailesine, sevenlerine ve parti camiamıza başsağlığı diliyorum.

Mekânı cennet, ruhu şâd olsun.",Sat Jul 19 14:12:11 +0000 2025,2820,334,881,https://twitter.com/kilicdarogluk/status/1946573790218969152
1945111182248972777,kilicdarogluk,"Devletin içine,
hem küresel düşmanlarımız hem de yerli işbirlikçileri yardımıyla yerleşmiş ihanet şebekesinin,
halk iradesine,
devlet yapılanmasına ve Türkiye demokrasisine
göz diktiği
15 Temmuz kanlı darbe girişimine,
canlarını siper eden
251 kahraman şehidimizi saygıyla anıyor,
gazilerimize minnetlerimi iletiyorum.

Bu ihanet yapılanmasının devlet içerisindeki uzantılarının hala var olduğu ve gölgelerinin siyaset kurumuna tesir ettiği dönem henüz son bulmamıştır.
Bu yapının siyasi uzantılarının deşifre edilerek cezalandırılması,
sapla samanın birbirinden ayrılması,
önümüzdeki süreçte devletin menfaatleri ve milletin selameti açısından önemlidir.",Tue Jul 15 13:20:18 +0000 2025,2840,388,1833,https://twitter.com/kilicdarogluk/status/1945111182248972777
1943726393793085948,kilicdarogluk,"“Suriye sokaklarında düşman olduk, Türkiye’nin çöplüklerinde ise tekrar kardeş olduk.”

Kardeşlerim, Suriye iç savaşından sonra iki Suriye vatandaşı arasında geçen bu konuşmayı lütfen unutmayın.
Bu konuşmayı yapanlardan biri belki Suriyeli bir Arap, diğeri ise Suriyeli bir Kürt;
biri Nusayri veya Dürzidir.
Belki biri Sünni, biri Alevidir, kim bilir…

Kardeşlerim, Afganistan’ı terk eden Amerikan uçaklarına binebilmek için uçağın tekerlerine sarılan ve tutunamayıp aşağı düşerek hayatlarını kaybeden Afganları da unutmayın lütfen.

Sınırlarımızda yükselen savaşların bizlere hatırlatması gereken;
86 milyon vatandaşımızın, üniter devlet yapısı altında kardeşlik, birlik ve beraberlik çatısı altında kenetlenmemizin her zamankinden daha önemli olduğudur.

Kurtuluş Savaşı’nda bölücü küresel güçlere karşı birbirimize verdiğimiz sözü en derinden hatırlama zamanı gelmiştir.

Bölücü terör örgütünün tek taraflı, koşulsuz ve şartsız şekilde silahlarını imha etmesi ve yapılanmasını fesh etmesi;
bizim ayrılmaz parçamız ve bu vatanın öz evlatları olan Kürt kardeşlerimizi manipüle ederek bizlerden soyutlamaya çalışmalarının son bulduğu bir dönem olması umudunu taşıyor ve süreçten duyduğum memnuniyetimi belirtiyorum.

Bugün gelinen noktada yaşananların takipçisi olacağımın bilinmesini isterim.
Türkiye’nin terörsüz bir geleceğe adım atması önemlidir.

Üniter devlet yapımız,
Cumhuriyetimizin bağımsızlığı ve
Necip milletimizin selameti için
canlarını feda eden
Aziz Şehitlerimizin ruhu şad,
mekanları cennet olsun.",Fri Jul 11 17:37:39 +0000 2025,3351,529,1373,https://twitter.com/kilicdarogluk/status/1943726393793085948
1943029113050034661,kilicdarogluk,"Hukukun üstünlüğü, sadece bir ilke değil; demokrasinin temelidir.

Halkın oyuyla göreve gelmiş, yıllardır büyük bir emekle halkına hizmet eden belediye başkanlarımıza yönelik bu kararlar; kişisel bir yargı tasarrufu olarak değil, doğrudan halkın tercihine ve yerel demokrasinin ruhuna müdahaledir.

Masumiyet karinesi, hukuk devletinin omurgasıdır. Yargı, siyasetin gölgesinde değil; adaletin ışığında karar vermelidir. Unutulmamalıdır ki, yanlış verilen her karar sadece bir hayatı değil; bir toplumun vicdanını da kanatır.

Yargının; tarafsız, bağımsız ve evrensel hukuk normlarına sadık kalması yalnızca bir temenni değil; demokratik bir zorunluluktur.

Halkın iradesine ve hukukun üstünlüğüne yönelen her türlü müdahalenin karşısında duracağız. Bu sürecin hem hukuki hem de toplumsal takipçisi olmaya kararlılıkla devam edeceğiz.",Wed Jul 09 19:26:54 +0000 2025,3061,481,1565,https://twitter.com/kilicdarogluk/status/1943029113050034661
1942921613021766087,kilicdarogluk,"Ekran karartmalarına karşı, halkın haber alma hakkını savunan bağımsız medyanın yanındayız.

 #SözcüTV https://t.co/8eSGudwJEz",Wed Jul 09 12:19:44 +0000 2025,2381,322,882,https://twitter.com/kilicdarogluk/status/1942921613021766087
