ID,Author,party,political_side,Date,cleaned_text,top3_emotion_ids
1952413639756976402,PervinBuldan,HDP,left,Mon Aug 04 16:57:40 +0000 2025,RT  Sosyal medyada dolaşıma sokulan ve Sayın Abdullah Öcalana atfedilen bazı görüşme notları gerçeği yansıtmamaktadır,"22,6,9"
1948634280604692692,PervinBuldan,HDP,left,Fri Jul 25 06:39:51 +0000 2025,RT  Annemizi görüşmek üzere diyerek uğurladık. Uğurlamada bir kez daha hakikate ve adalete ulaşma umudumuzu büyüten,"22,13,9"
1948331533527388207,PervinBuldan,HDP,left,Thu Jul 24 10:36:50 +0000 2025,"RT  Meclis Başkan Vekili ve İmralı Heyeti Üyesi Pervin Buldan, Parti Sözcümüz Ayşegül Doğan, il eş başkanlarımız, milletve","22,9,26"
1948305372503998647,PervinBuldan,HDP,left,Thu Jul 24 08:52:53 +0000 2025,"RT  Pervin Buldan, Emine Ocaka veda töreninde konuştu Emine anne sadece Hasanı, sadece Hasanın katillerini değil, Hasan","22,9,13"
1948303942926074110,PervinBuldan,HDP,left,Thu Jul 24 08:47:12 +0000 2025,"RT  Cumartesi Annesi Emine Ocak, 30 yıldır mücadele ettiği Galatasaray Meydanından sonsuzluğa uğurlanıyor DEM Parti Milletve","22,9,13"
1948088289811972099,PervinBuldan,HDP,left,Wed Jul 23 18:30:16 +0000 2025,"Ağaçları kurtarmaya çalışırken alevlere teslim oldular 11 orman işçimizi kaybettik. Onlar, sessiz kahramanlardı. Hepimizi derinden yakan bir kayıp. Unutmayacağız Ormanİşçileri YangınFaciası","25,9,22"
1947906089934327825,PervinBuldan,HDP,left,Wed Jul 23 06:26:16 +0000 2025,"Emine Ocakı kaybettik. Cumartesi Annelerinin simgesi, adaletin susmayan sesi Evladını ararken bir halkın vicdanına dönüştü. Mekânı cennet olsun, mücadelesi unutulmayacak. EmineOcak","25,9,22"
1947705941337448884,PervinBuldan,HDP,left,Tue Jul 22 17:10:57 +0000 2025,"RT  Kamuoyunu yanıltmak ve toplumsal algıyı çarpıtmak isteyenlere hatırlatma DEM Parti halkların eşitlik, özgürlük, de","22,9,6"
1946913073953980875,PervinBuldan,HDP,left,Sun Jul 20 12:40:23 +0000 2025,Dualarımızla..,"25,9,13"
1944754962996592996,PervinBuldan,HDP,left,Mon Jul 14 13:44:49 +0000 2025,"RT  Basına ve Kamuoyuna, DEM Parti İmralı Heyetinin açıklaması","26,22,13"
1943573432970420311,PervinBuldan,HDP,left,Fri Jul 11 07:29:50 +0000 2025,"Hayırlı bir Cuma. Biliyorum izliyorsun, görüyorsun, mutlu ve huzurlusun. Rahat uyu yoldaş Sırrı. Bugün silahlar teslim edilecek. Artık gençlerin ölmedigi, annelerin ağlamadığı bir gelecek var önümüzde. Barış sana armağan olsun.","25,9,13"
1941459458313646491,PervinBuldan,HDP,left,Sat Jul 05 11:29:40 +0000 2025,İyi ki doğdun yoldaşım.,"13,25,21"
1941401830992511327,PervinBuldan,HDP,left,Sat Jul 05 07:40:40 +0000 2025,Van Bölge Eğitim Ve Araştırma Hastanesinde yatan hastaları ziyaret ettik.Bütün hastalara acil şifalar diliyorum.,"25,9,14"
1941099745906487359,PervinBuldan,HDP,left,Fri Jul 04 11:40:17 +0000 2025,Van İl örgütümüzle beraber cezaevlerinden tahliye olan arkadaşlarımızı evlerinde ziyaret ettik. Geçmiş olsun.,"22,9,13"
1940734896978514257,PervinBuldan,HDP,left,Thu Jul 03 11:30:31 +0000 2025,"Vanda Il örgütümüz, İl Eşbaşkanlarımız ve Milletvekillerimizle birlikte yöre Derneklerini ziyaret ediyoruz. Tillolular Dernegi yönetim ve üyelerine misafirperverliklerinden dolayı teşekkür ediyoruz.","9,22,25"
1940372494416019518,PervinBuldan,HDP,left,Wed Jul 02 11:30:27 +0000 2025,Van il örgütümüz ve İl eş başkanı Veysi Dilekçiyle birlikte Kesk Van Şubesini ziyaret ettik. Kesk şube yönetimine çok teşekkür ediyoruz.,"22,9,25"
