ID,Author,party,political_side,Text,Date
1944754962996592996,PervinBuldan,HDP,left,"RT @DEMGenelMerkezi: Basına ve Kamuoyuna, DEM Parti İmralı Heyetinin açıklaması:",Mon Jul 14 13:44:49 +0000 2025
1943573432970420311,PervinBuldan,HDP,left,"Hayırlı bir Cuma. Biliyorum izliyorsun, görüyorsun, mutlu ve huzurlusun. Rahat uyu yoldaş Sırrı. Bugün silahlar teslim edilecek. Artık gençlerin ölmedigi, annelerin ağlamadığı bir gelecek var önümüzde. Barış sana armağan olsun.",Fri Jul 11 07:29:50 +0000 2025
1941459458313646491,PervinBuldan,HDP,left,İyi ki doğdun yoldaşım.,Sat Jul 05 11:29:40 +0000 2025
1941401830992511327,PervinBuldan,HDP,left,Van Bölge Eğitim Ve Araştırma Hastanesi’nde yatan hastaları ziyaret ettik.Bütün hastalara acil şifalar diliyorum.,Sat Jul 05 07:40:40 +0000 2025
1941099745906487359,PervinBuldan,HDP,left,Van İl örgütümüzle beraber cezaevlerinden tahliye olan arkadaşlarımızı evlerinde ziyaret ettik. Geçmiş olsun.,Fri Jul 04 11:40:17 +0000 2025
1940734896978514257,PervinBuldan,HDP,left,"Van’da Il örgütümüz, İl Eşbaşkanlarımız ve Milletvekillerimizle birlikte yöre Derneklerini ziyaret ediyoruz. Tillo’lular Dernegi yönetim ve üyelerine misafirperverliklerinden dolayı teşekkür ediyoruz.",Thu Jul 03 11:30:31 +0000 2025
1940372494416019518,PervinBuldan,HDP,left,Van il örgütümüz ve İl eş başkanı Veysi Dilekçi’yle birlikte Kesk Van Şubesini ziyaret ettik. Kesk şube yönetimine çok teşekkür ediyoruz.,Wed Jul 02 11:30:27 +0000 2025
1940053503839219982,PervinBuldan,HDP,left,Cezaevinden yeni çıkan eski İl Eşbaşkanımız Fikret Doğan’ı Van’da evinde ziyaret ettik. Tekrar geçmiş olsun.,Tue Jul 01 14:22:54 +0000 2025
1939216176942567926,PervinBuldan,HDP,left,"Özgürlük, barış ve demokrasi insanı, sevgili Orhan Doğan’ı aramızdan ayrılışının 18. yıldönümünde sevgi ve minnetle anıyorum.",Sun Jun 29 06:55:40 +0000 2025
1937183200125812970,PervinBuldan,HDP,left,Allah şifa versin. Bütün dualarımız Emine Annemiz için.,Mon Jun 23 16:17:20 +0000 2025
1935769726707462529,PervinBuldan,HDP,left,Van’ın bir önceki İl Eşbaşkanı Fikret Doğan bugün tahliye oldu. Geçmiş olsun.,Thu Jun 19 18:40:42 +0000 2025
1934706595146903992,PervinBuldan,HDP,left,"Selahattin Demirtaş yazdı, Ferhat Tunç seslendirdi. Sırrı Süreyya Önder’e ağıt. Sevgiyle ve minnetle…",Mon Jun 16 20:16:12 +0000 2025
1934641885072486499,PervinBuldan,HDP,left,Barışa İhtiyacım Var Kadın İnsiyatifi ile Barışı konuştuk. Emeği geçen herkese sonsuz teşekkürler.,Mon Jun 16 15:59:03 +0000 2025
1934185722237317379,PervinBuldan,HDP,left,"Ali Mendilloğlu, Cano, Ceren ve hepsi. Bu fotoğrafa kalbimi bıraktım.",Sun Jun 15 09:46:26 +0000 2025
1933073971563426037,PervinBuldan,HDP,left,"Nasıl desem. Desem sana dert, demesem bana dert. Nurlar içinde uyu.",Thu Jun 12 08:08:44 +0000 2025
1932089975895359855,PervinBuldan,HDP,left,Manisa Büyükşehir Belediye Başkanı Ferdi Zeyrek’e Allah’tan rahmet diliyorum. Sevenlerinin başı sagolsun.,Mon Jun 09 14:58:41 +0000 2025
1932047077225254957,PervinBuldan,HDP,left,Van İl Eşbaşkanımız Veysi Dilekçi ve @GulcanKcmzSyygt Vekilimizle birlikte Yüzüncü Yıl Dursun Odabaşı Tıp Fakültesinde ve evlerde yatan hastalarımıza ziyaretler gerçekleştirdik. Allah hepsine şifa versin.,Mon Jun 09 12:08:13 +0000 2025
1931795817825812578,PervinBuldan,HDP,left,Milletvekilimiz Mahmut Dindar’ı Van’da tedavi gördüğü hastanede ziyaret ettik. En kısa zamanda sağlığına kavuşmasını temenni ediyor acil şifalar diliyoruz.,Sun Jun 08 19:29:48 +0000 2025
