ID,Author,Text,Date,Like_Count,Retweet_Count,Reply_Count,URL
1945466026394808714,eczozgurozel,Silivri'de Cumhurbaşkanı Adayımız Ekrem İmamoğlu'nu ziyaretimizin ardından açıklama yapıyorum. https://t.co/pChnvzmUSN,Wed Jul 16 12:50:20 +0000 2025,9411,1674,676,https://twitter.com/eczozgurozel/status/1945466026394808714
1945167315609260484,eczozgurozel,"Artık bu ülkeyi uçurumdan aşağıya yuvarlamaya, karanlığa boğmaya kimsenin hakkı yok.

Sandıktan kaçamazsın!

Yarın Kartal’dayız!

🗓️ 16 Temmuz Çarşamba
⏰ 20.30
📍Kartal Meydanı, Atatürk Anıtı https://t.co/asiBZkqDHr",Tue Jul 15 17:03:22 +0000 2025,23297,3540,1132,https://twitter.com/eczozgurozel/status/1945167315609260484
1945117135279202658,eczozgurozel,"15 Temmuz, nasıl halkın iradesine yapılan bir darbeyse; 19 Mart da ondan farksızdır.

Şu anda bir darbe sürecindeyiz. Erdoğan rakibine darbe yaptı, onu hapiste tutuyor.

Biz de bu darbeye karşı direndik, direniyoruz, direneceğiz! https://t.co/JS31NrtPyI",Tue Jul 15 13:43:58 +0000 2025,23478,3216,1119,https://twitter.com/eczozgurozel/status/1945117135279202658
1945020951500100006,eczozgurozel,HaberTürk TV’de gazetecilerin sorularını yanıtlıyorum. https://t.co/PwrdEkpBBv,Tue Jul 15 07:21:46 +0000 2025,10626,1503,782,https://twitter.com/eczozgurozel/status/1945020951500100006
1944825781043003702,eczozgurozel,"Yarın sabah, HaberTürk TV’de canlı yayın konuğu olacağım. 

🗓️15 Temmuz Salı 
⏰10.15
📍HaberTürk TV https://t.co/kpa7QQCxGX",Mon Jul 14 18:26:13 +0000 2025,8441,1079,1065,https://twitter.com/eczozgurozel/status/1944825781043003702
1944410172912525461,eczozgurozel,"Acıyı da umudu da en derinden yaşayan Adıyaman’da meydanları dolduranlara teşekkür ediyorum.

Bugün birilerinin bir hesabı olabilir ama bu milletin de bir hesabı var, o hesap sandıkta görülecek!

Artık bakan evlatlarının değil vatan evlatlarının yüzü gülecek! https://t.co/Wi7yyFG0jG",Sun Jul 13 14:54:45 +0000 2025,24759,2967,937,https://twitter.com/eczozgurozel/status/1944410172912525461
1944390093713940753,eczozgurozel,Adıyaman İl Başkanlığımızın önündeyiz. https://t.co/iv2tORKS1M,Sun Jul 13 13:34:58 +0000 2025,11591,1889,434,https://twitter.com/eczozgurozel/status/1944390093713940753
1944128821298704511,eczozgurozel,"Erdoğan’a sesleniyorum:

Artık yaşlandın, yoruldun. Bu milleti duymuyorsun, sorunlarını çözmüyorsun.

Milletin dayanacak gücü kalmadı. 

Hodri meydan! 2 Kasım'da koyalım sandığı!

Yok bırakmam, koltuğa çakıldım diyorsan unutma:

%29'la seni o koltukta oturtmam!",Sat Jul 12 20:16:45 +0000 2025,57899,7492,3579,https://twitter.com/eczozgurozel/status/1944128821298704511
1944101928335814914,eczozgurozel,"Teşekkürler canım Malatya ❤️

Artık bu devleti, halkın %70’inin inanmadığı bir iktidar yönetemez!

Sokağa çıkamayan, pazara gidemeyen, rakibinden korkan, sandıktan kaçan, gayrimeşru bir iktidar bu devleti yönetemez.

Adayımı bırak, sandığı getir!",Sat Jul 12 18:29:54 +0000 2025,38932,4350,1249,https://twitter.com/eczozgurozel/status/1944101928335814914
1944059562145067297,eczozgurozel,"Malatya’dayız! Yoksulların, çiftçilerin, depremzedelerin hakkını, adaleti aramaya geldik! https://t.co/SRl03rVNlB",Sat Jul 12 15:41:33 +0000 2025,14100,2629,898,https://twitter.com/eczozgurozel/status/1944059562145067297
