ID,Author,Text,Date,Like_Count,Retweet_Count,Reply_Count,URL
1951683725235822668,mansuryavas06,"RT @burcukoksal03: Ata tohumlarımızı hasat ettik!🌾

11 Ekim’de Ankara Büyükşehir Belediye Başkanımız Mansur Yavaş'la birlikte ektiğimiz arp…",Sat Aug 02 16:37:15 +0000 2025,0,296,0,https://twitter.com/mansuryavas06/status/1951683725235822668
1951551538649800820,mansuryavas06,RT @tarihikentler: Tarihi Kentler Birliği’nin kurucularından ve Onursal Danışma Kurulu Başkanı Prof. Dr. Metin Sözen’i kaybetmenin derin üz…,Sat Aug 02 07:51:59 +0000 2025,0,65,0,https://twitter.com/mansuryavas06/status/1951551538649800820
1951205553763463274,mansuryavas06,"Sevgili Ankaralılar; 

Son değerlendirmelere göre bugün Ankara genelinde aralıklarla yağış beklenmektedir.

Kent merkezinde yağışların yerel olarak orta kuvvette, yer yer kuvvetli olması öngörülmektedir.
Dış ilçelerde ise özellikle Haymana ve çevresinde yerel kuvvetli sağanak geçişleri beklenmektedir.

Ekiplerimiz teyakkuz halindedir. 

Vatandaşlarımızın da olumsuzluklara karşı dikkatli ve tedbirli olmalarını rica ediyorum.",Fri Aug 01 08:57:10 +0000 2025,4917,329,406,https://twitter.com/mansuryavas06/status/1951205553763463274
1950818397505180094,mansuryavas06,"RT @egobilgi: 📢ANKARA METROSU OSB/TÖREKENT–KORU HATTI YAZ DÖNEMİ TREN SEFER PROGRAMINDA GÜNCELLEME

(1 AĞUSTOS 2025 TARİHİ İTİBARIYLA)

EGO…",Thu Jul 31 07:18:45 +0000 2025,0,45,0,https://twitter.com/mansuryavas06/status/1950818397505180094
1950625882747310103,mansuryavas06,"Edirne Uzunköprü’de görev sırasında geçirdiği kaza sonucu şehit olan Uzman Çavuş Servet Ökkeş Çakır’a Allah’tan rahmet, ailesine ve milletimize sabır diliyorum.

Başımız sağolsun 🇹🇷 https://t.co/uzQKnGDpsF",Wed Jul 30 18:33:45 +0000 2025,3892,306,140,https://twitter.com/mansuryavas06/status/1950625882747310103
1950461643621618035,mansuryavas06,"5- BİR ŞEHİR NASIL KATLEDİLİR?

Ankara’nın bugünkü nüfusu 6 milyon.
Ancak geçmiş yönetimin ranta dayalı imar kararlarıyla, 18 milyonluk nüfusu barındıracak büyüklükte planlar hazırlanmış.

Şimdi gördüğünüz her boşlukta yükselen devasa yapılar, bu hesapsızlığın ve kent hakkını hiçe sayan anlayışın sonucudur. Yol aynı yol, kanal aynı kanal, altyapı aynı… Ama binalar artık 40-50 kat. 

Şimdi soruyorum:
Bir kenti bu kadar betona boğmak geleceğin çocuklarına nasıl bir yaşam bırakır?",Wed Jul 30 07:41:08 +0000 2025,12283,1686,751,https://twitter.com/mansuryavas06/status/1950461643621618035
1950164735196090658,mansuryavas06,"4 – BİR ŞEHİR NASIL KATLEDİLİR? LÜTFEN BAKIN…

Burası Beytepe.

Bir zamanlar planlı, nefes alabilen bir yerleşim bölgesiydi.
Ama önceki yönetimin rantı önceleyen imar kararlarıyla bu mahalle, beton bloklarla kuşatıldı.
230 bin kişilik nüfus öngörülmüşken,  bugün o bölgede artış %137…
Yollar aynı, altyapı aynı… Ama katlar 47’ye dayandı.

Bu sadece bir imar değişikliği değil; bir yaşam hakkı gaspıdır.
Bir mahallenin değil, bir kentin ruhunun yok sayılmasıdır.",Tue Jul 29 12:01:19 +0000 2025,9522,1433,479,https://twitter.com/mansuryavas06/status/1950164735196090658
1949892461054382152,mansuryavas06,"Şırnak’ta görev sırasında yaralanarak şehit olan Jandarma Uzman Çavuş Mehmet Ali Yıldırım’a Allah’tan rahmet, ailesine, silah arkadaşlarına ve milletimize başsağlığı diliyorum. https://t.co/pjryMLzYjI",Mon Jul 28 17:59:24 +0000 2025,6461,427,154,https://twitter.com/mansuryavas06/status/1949892461054382152
1949765918084477383,mansuryavas06,"RT @TurkishIndy: Gürbüz Evren yazdı:

🌍 Avrupa'da insan kaynaklı orman yangınları ve cezası

⚖️ ""İnsanımız cahil, eğitimsiz, duyarsız olduğ…",Mon Jul 28 09:36:34 +0000 2025,0,158,0,https://twitter.com/mansuryavas06/status/1949765918084477383
1949761197806416294,mansuryavas06,"3 - BİR ŞEHİR NASIL KATLEDİLİR? İZLEYELİM. 

Burası Ovacık.

1998 yılında bu bölge için öngörülen 3 ila 5 katlık yapılaşma sınırı,  2011 yılında önceki yönetim döneminde yapılan bir revizyonla adeta yerle bir edildi.
Önce minimum 8 kata çıkarıldı, ardından 40 katlık yapılara kadar izin verildi.

Bugün Ovacık’ta yükselen bu binalar, işte o rant uğruna yapılan plan değişikliklerinin sonucudur.

Bu bir şehircilik planı değil, kentin geleceğini yok eden rant projesidir.",Mon Jul 28 09:17:49 +0000 2025,10538,1730,404,https://twitter.com/mansuryavas06/status/1949761197806416294
