ID,Author,Text,Date,Like_Count,Retweet_Count,Reply_Count,URL
1945028781300756819,meral_aksener,"Ne mutlu bize ki Türk milletinin ruhu; tarihin hiçbir döneminde vazgeçmeyen, teslim olmayan, vatan ve hürriyet sevdasından sapmayan bir ruhtur.

İşte o ruhun her adımda, her duada ve her gönülde yeniden canlandığı #15Temmuz’un yıl dönümünde;

Aziz şehitlerimizi rahmetle, gazilerimizi minnetle anıyorum. 

Yüce Allah milletimizi bir daha böylesi acı tecrübe ve mücadelelerle sınamasın…",Tue Jul 15 07:52:53 +0000 2025,760,217,357,https://twitter.com/meral_aksener/status/1945028781300756819
1941895433493631005,meral_aksener,"Pençe-Kilit Harekâtı bölgesinde, çok acı ve zor bir görevin başındayken şehit düşen kahraman Mehmetçiklerimize Yüce Allah’tan rahmet, kıymetli ailelerine sabırlar diliyor, 

Tedavisi devam eden Mehmetçiklerimize acil şifalar temenni ediyorum. 

Başımız sağ olsun… 🇹🇷",Sun Jul 06 16:22:04 +0000 2025,721,183,140,https://twitter.com/meral_aksener/status/1941895433493631005
1941162613028843546,meral_aksener,"Gazeteci-yazar Nihat Genç’e Yüce Allah’tan rahmet, ailesine ve sevenlerine başsağlığı diliyorum. 

Ruhu şad, mekânı cennet olsun.",Fri Jul 04 15:50:06 +0000 2025,1103,237,191,https://twitter.com/meral_aksener/status/1941162613028843546
1932098987852480769,meral_aksener,"Manisa Büyükşehir Belediye Başkanı Sayın Ferdi Zeyrek’in vefatını büyük bir üzüntüyle öğrendim.

Merhuma Yüce Allah’tan rahmet, ailesine ve tüm sevenlerine başsağlığı diliyorum.

Ruhu şad, mekânı cennet olsun.",Mon Jun 09 15:34:30 +0000 2025,1319,181,256,https://twitter.com/meral_aksener/status/1932098987852480769
1931721299820224994,meral_aksener,"Manisa Büyükşehir Belediye Başkanı Sayın Ferdi Zeyrek’e geçmiş olsun dileklerimi iletiyor, acil şifalar diliyorum.

En kısa sürede sağlığına kavuşmasını temenni ediyorum.",Sun Jun 08 14:33:42 +0000 2025,852,122,221,https://twitter.com/meral_aksener/status/1931721299820224994
1930905180079271982,meral_aksener,"Bayram sabahlarında gönüllerde yeşeren neşenin, evlerde hissedilen bereketin ve sofralardaki bolluğun, önümüzdeki yılların her gününde artarak yayılmasını diliyor, 

Ülkemizin huzurla, milletimizin mutlulukla geçireceği daha nice bayramlara ulaşmayı Yüce Allah'tan niyaz ediyorum. 

#KurbanBayramı'mız kutlu olsun...",Fri Jun 06 08:30:44 +0000 2025,1138,201,515,https://twitter.com/meral_aksener/status/1930905180079271982
1924410400981835980,meral_aksener,"Milletimiz için tarihi bir başlangıcın, 1919’un 19 Mayıs’ında Samsun’dan atılan o ilk adımın yıl dönümündeyiz...

İç cephedeki sayısız gediğe rağmen Türk Milleti’ni aynı kutlu ülküde; son devletimiz, Türkiye Cumhuriyeti'nde birleştiren o büyük iradenin, millet iradesinin ayağa kalktığı gündeyiz.

Ne mutlu bize ki; 

İstikbali istiklâlden ayrı görmeyip bu büyük mücadelenin bayramını Türk gençliğine armağan eden bir büyük vizyonun mirasçılarıyız...

Köklü tarihimizin ışığıyla bugüne bakarken; milletçe sahip olduğumuz iradenin gücünü, omuzlarımızdaki sorumluluğu ve ülkemiz için daima bir adım daha ileri gitme zorunluluğunu herkesin yüreğinde canlı tutmasını temenni ediyorum.

Bu vesileyle;
Başta Gazi Mustafa Kemal Atatürk olmak üzere, tüm şehit ve gazilerimizi saygı, rahmet ve minnetle anıyorum.

19 Mayıs Atatürk’ü Anma, Gençlik ve Spor Bayramımız kutlu olsun!",Mon May 19 10:22:48 +0000 2025,792,187,242,https://twitter.com/meral_aksener/status/1924410400981835980
1919000452894437741,meral_aksener,"CHP Genel Başkanı Sayın Özgür Özel’e gerçekleştirilen saldırıyı şiddetle kınıyor, kendisine geçmiş olsun dileklerimi iletiyorum. 

Ülkemizdeki demokratik siyaset zeminine, şiddetin gölgesinin bile düşmediği günlere kavuşmamızı temenni ediyorum.",Sun May 04 12:05:35 +0000 2025,932,160,300,https://twitter.com/meral_aksener/status/1919000452894437741
1918267170418811021,meral_aksener,"TBMM'de aynı dönemde, birlikte görev yaptığımız değerli devlet insanlarından Sayın Mehmet Ekici'yi kaybettiğimizi üzüntüyle öğrendim.

Merhuma Yüce Allah'tan rahmet, ailesi ve sevenlerine sabırlar diliyorum.",Fri May 02 11:31:47 +0000 2025,642,124,166,https://twitter.com/meral_aksener/status/1918267170418811021
1914970797447282893,meral_aksener,"Milletimizin iradesinin, Türkiye Büyük Millet Meclisi çatısı altında yüceldiği tarihi bir dönüm noktasının 105. yılındayız… 

Binbir mücadeleyle, fedakârlıkla ve kararlılıkla kazandığımız ulusal egemenliğimizin yıl dönümünde, bir kez daha hatırlatmak isterim ki; 

Aziz Türk milletinin kurucu ruhundaki ferasetin izleri, bugün her yürekte ilk günkü gibi yaşamaya devam ediyor.

Bu vesileyle; 

Başta Gazi Mustafa Kemal Atatürk’ümüz olmak üzere TBMM’nin kuruluşunda emeği geçen tüm şehit ve gazilerimizi sevgi, saygı ve rahmetle anıyorum. 

Tüm çocuklarımızın 23 Nisan Ulusal Egemenlik ve Çocuk Bayramı kutlu olsun… 🇹🇷❤️",Wed Apr 23 09:13:11 +0000 2025,967,236,368,https://twitter.com/meral_aksener/status/1914970797447282893
