ID,Author,Text,Date,Like_Count,Retweet_Count,Reply_Count,URL
1945198468701532411,tuncerbakirhan,RT @DEMGenelMerkezi: Özgürlük ve demokrasi mücadelemizin gerçek yürütücüleri ve sahibi olan halklarımızla Barış ve Demokratik Toplum buluşm…,Tue Jul 15 19:07:09 +0000 2025,0,30,0,https://twitter.com/tuncerbakirhan/status/1945198468701532411
1944752406425723080,tuncerbakirhan,"RT @DEMGenelMerkezi: Basına ve Kamuoyuna,

DEM Parti İmralı Heyetinin açıklaması:
https://t.co/yoEr9JnnkQ https://t.co/PgPUof7HYn",Mon Jul 14 13:34:40 +0000 2025,0,147,0,https://twitter.com/tuncerbakirhan/status/1944752406425723080
1944294197462266361,tuncerbakirhan,"Îro salvegera Qetlîama Zîlanê ye. Komkujiya Geliyê Zîlanê yek ji komkujiyên ku sûcên li dijî mirovahiyê ne. Zelalkirina komkujiyên mîna Komkujiya Zîlanê, pêdivîyek ji bo pêvajoya aştiyê ye jî. 

Ez bi rêzdarî û bi minnetdarî wan kesên ku di Komkujiya Zîlanê de jiyana xwe ji dest dane bi bîr tînim.
#ZilanKatliamı",Sun Jul 13 07:13:54 +0000 2025,840,120,23,https://twitter.com/tuncerbakirhan/status/1944294197462266361
1944114287544274950,tuncerbakirhan,"RT @DEMGenelMerkezi: Barış ve demokrasi mücadelesinde büyük emeği olan Dengir Mir Mehmet Fırat'ı, aramızdan ayrılışının yıldönümünde saygı…",Sat Jul 12 19:19:00 +0000 2025,0,62,0,https://twitter.com/tuncerbakirhan/status/1944114287544274950
1943766100367343686,tuncerbakirhan,Me îro bi lijneya xwe piştî merasîma dîrokî ya çekdanînê serdana Birêz Mesûd Barzanî û Nêçîrvan Barzanî kir. Her du birêzan jî bi awayekî germ pêşwaziya me kirin û piştgiriya xwe ya ji bo Pêvajoya Aştî û Civaka Demokratîk careke din nîşan dan û diyar kirin ku ew ê rola xwe ya piştgirî û rêxweşkiriyê bidomînin. Em ji bo nêzîkatî û helwesta wan spasdar in. Yekîtiya me dê vê pêvajoya dîrokî xurttir û qeyîmtir bike.,Fri Jul 11 20:15:26 +0000 2025,805,49,73,https://twitter.com/tuncerbakirhan/status/1943766100367343686
1943725858587316350,tuncerbakirhan,RT @DEMGenelMerkezi: Sayın Öcalan'ın çağrısı üzerine Kürdistan Bölgesel Yönetimi sınırlarında düzenlenen tarihi silah bırakma merasiminin a…,Fri Jul 11 17:35:32 +0000 2025,0,70,0,https://twitter.com/tuncerbakirhan/status/1943725858587316350
1943674868773343328,tuncerbakirhan,"Kazanan halklar olacaktır. Kazanan eşitlik, demokrasi ve barış olacaktır. Bu süreci onurla, sabırla, inatla savunacağız. https://t.co/hTq2YOxH12",Fri Jul 11 14:12:55 +0000 2025,1666,233,205,https://twitter.com/tuncerbakirhan/status/1943674868773343328
1943253454023205277,tuncerbakirhan,"RT @DEMGenelMerkezi: 12 yıl önce Gezi Direnişinde katledilen Ali İsmail Korkmaz’ın adalet ve özgürlük için verdiği mücadele, bugün de yolum…",Thu Jul 10 10:18:21 +0000 2025,0,175,0,https://twitter.com/tuncerbakirhan/status/1943253454023205277
1942521496175304843,tuncerbakirhan,"RT @DEMGenelMerkezi: Eş Genel Başkanımız Tülay Hatimoğulları, Meclis Grup Toplantımızda konuşuyor
 https://t.co/wIWamnTnJG",Tue Jul 08 09:49:49 +0000 2025,0,72,0,https://twitter.com/tuncerbakirhan/status/1942521496175304843
1942220337162182674,tuncerbakirhan,"RT @DEMGenelMerkezi: DEM Parti İmralı Heyeti üyelerimiz Pervin Buldan ve Mithat Sancar, bugün Sayın Cumhurbaşkanı Recep Tayyip Erdoğan’la B…",Mon Jul 07 13:53:07 +0000 2025,0,122,0,https://twitter.com/tuncerbakirhan/status/1942220337162182674
