ID,Author,Text,Date,Like_Count,Retweet_Count,Reply_Count,URL
1945491339035988064,umitozdag,"Ötüken’de 1400 sene önce taşa kazıdığımız, 4000 yıldır tarihe yazdığımız Türk ismini tükenmez kalemle Türkiyeli yapmak isteyenlere cevap vermek üzere 8/9 Ağustos’ta  bir İngiliz teğmenin not defterine “Dağlar Türk doğuruyor” dediği Çanakkale’de olacağız. 
Edirne’den Hakkari’ye bütün Türk gençliğini 57. Alay karargahında geceyi geçirmeye ve dağların Türk doğurduğu yürüyüşe davet ediyorum. @zaferpartisi",Wed Jul 16 14:30:55 +0000 2025,8018,1296,137,https://twitter.com/umitozdag/status/1945491339035988064
1945359976639156595,umitozdag,"İzmir’in yangından zarar gören köylerini ziyaret ettik. Türkiye her yaz yangına hazırlıksız yakalanıyor. Çünkü kötü ve liyakatsiz yönetim bütün bürokrasiye hakim durumda. 
Zafer Partisi devlet yönetimine kişiye sadakatin yerine liyakat ilkesini tekrar getirecek. @zaferpartisi https://t.co/GQUM2Fxct9",Wed Jul 16 05:48:56 +0000 2025,6033,748,86,https://twitter.com/umitozdag/status/1945359976639156595
1945334945909780826,umitozdag,"Hüseyin Özbek Öcalan/PKK’nın istediğini çok açık ve basit bir şekilde anlatmış. Size ait bir tapu var. Ve birisi tapuya ortak olmak istiyor. Tekli tapu hisseli tapu oldun diyor. Tapuyu hisseli tapuya çevirirseniz ilk fırsatta “Ver benim hissemi,  ben gidiyordum” diyecek. @zaferpartisi",Wed Jul 16 04:09:28 +0000 2025,7468,1504,116,https://twitter.com/umitozdag/status/1945334945909780826
1945200594882339238,umitozdag,Zafer Partisi 2008’de yapılan düzenlemeyi iptal edeceğiz. Ve 2008’den önceki düzenlemeye geri döneceğiz. Bunu bir çok kez açıkladık. Emekli ölümü beklenen kişi değil toplumun borcunu ödemesi gereken görevini yapmış bireydir. @zaferpartisi,Tue Jul 15 19:15:36 +0000 2025,17385,3276,314,https://twitter.com/umitozdag/status/1945200594882339238
1945178476077551758,umitozdag,"RT @AltaySporKulubu: Zafer Partisi Genel Başkanı Prof. Dr. Sayın Ümit Özdağ, kulübümüzü ziyaret etmiştir. Ziyaret sırasında Başkanımız Prof…",Tue Jul 15 17:47:43 +0000 2025,0,363,0,https://twitter.com/umitozdag/status/1945178476077551758
1945163045874827353,umitozdag,"#PoliseHepVaat
Türk Polisi bir yandan can ve başla vatan ve millet için çalışırken, diğer yandan adeta yaşama tutunma mücadelesi veriyor.
Çalışma saatleri, ikinci şark zorunluluğu, düşük maaş ve aile birliğini sağlamada karşısına çıkarılan sorunlarla polis resmen eziliyor.
Türk Polisine yapılan bu zulme son verin.",Tue Jul 15 16:46:24 +0000 2025,13862,2653,750,https://twitter.com/umitozdag/status/1945163045874827353
1945155521939493185,umitozdag,Çok önemli çok,Tue Jul 15 16:16:30 +0000 2025,19339,2293,257,https://twitter.com/umitozdag/status/1945155521939493185
1945051843240788148,umitozdag,"Türkiye’de emeklilik sistemi, yıllardır sosyal adalet ve hukuk devleti ilkeleriyle bağdaşmayan derin bir eşitsizlik üretmektedir. Aynı yıl hatta aynı ay içerisinde sigortalı olan vatandaşlar arasında, yalnızca bir gün sigorta girişi erken ya da geç olmanın 17-20 yıla varan emeklilik farkına yol açtığı ağır bir adaletsizlik yaşanmaktadır. 

İnsanlar ödedikleri primin ve verdikleri emeğin karşılığını adil bir şekilde alamaz hale gelmiştir. Yıllarca çalışan, prim ödeyen yurttaşlar, insanca yaşayabilecekleri bir emeklilik hakkını değil; yaşlandıkça yoksullaşan ve emekli olamadan hayatını kaybetme kaygısı taşıyan bir hayatı dayatan sistemin mağduru olmuştur. 

Emeklilik bir lütuf değil, alın terinin, helal kazancın ve ödenen primin karşılığıdır. Üstelik bu hak, insan onuruna yaraşır bir maaş ve temel ihtiyaçlarını karşılayabilecek bir gelir düzeyiyle birlikte sağlanmalıdır

Zafer Partisi olarak biz, emeklilikte adaletin, hakkaniyetin ve insanca yaşam hakkının yanında durmaya, bu adaletsizliği her platformda dile getirmeye devam edeceğiz. Kademeli emeklilik talebi, toplum vicdanının ve sosyal hukuk devletinin gereğidir. Bu talep artık görmezden gelinmemeli, gecikmeden değerlendirmeye alınmalıdır.
@zaferpartisi 
#KademeSusmayacak
#KademeliEmeklilik",Tue Jul 15 09:24:31 +0000 2025,7069,1765,1135,https://twitter.com/umitozdag/status/1945051843240788148
1945011742741823873,umitozdag,"DAM ittifakı (Dem-Ak-parti-MHP) ülkemize hayır getirmeyecek. AK Parti’nin vatansever seçmenleri, MHP’nin ülkücü seçmenleri bu uğursuz DAM ittifakını engellemeli. 

Türk Milleti, Türk-Kürt-Arap diye 3 cepheye bölünmeden kaya gibi tek cephe olarak inşa edilmelidir. Yaşasın Türkiye Cumhuriyeti @zaferpartisi",Tue Jul 15 06:45:10 +0000 2025,23312,3400,560,https://twitter.com/umitozdag/status/1945011742741823873
1944999583181893837,umitozdag,"Balyoz kumpası ile FETÖ tarafından hedef alınan Hava emekli Tümgeneral Beyazıt Karataş Zafer Partisi’ne katıldı. Ve Genel Başkan askeri başdanışmanlığı görevine başladı. 

Zafer Partisi Atatürk çizgisinde Türk milliyetçiliğinin merkez üssüdür, Bütün yurttaşlarımızı Zafer Partisine katılmaya davet ediyorum. @zaferpartisi",Tue Jul 15 05:56:51 +0000 2025,13109,1456,307,https://twitter.com/umitozdag/status/1944999583181893837
