ID,Author,party,political_side,Date,cleaned_text,top3_emotion_ids
1944754962996592996,PervinBuldan,HDP,left,Mon Jul 14 13:44:49 +0000 2025,"RT  Basına ve Kamuoyuna, DEM Parti İmralı Heyetinin açıklaması","22,26,9"
1943573432970420311,PervinBuldan,HDP,left,Fri Jul 11 07:29:50 +0000 2025,"Hayırlı bir Cuma. Biliyorum izliyorsun, görüyorsun, mutlu ve huzurlusun. Rahat uyu yoldaş Sırrı. Bugün silahlar teslim edilecek. Artık gençlerin ölmedigi, annelerin ağlamadığı bir gelecek var önümüzde. Barış sana armağan olsun.","13,22,26"
1941459458313646491,PervinBuldan,HDP,left,Sat Jul 05 11:29:40 +0000 2025,İyi ki doğdun yoldaşım.,"13,26,18"
1941401830992511327,PervinBuldan,HDP,left,Sat Jul 05 07:40:40 +0000 2025,Van Bölge Eğitim Ve Araştırma Hastanesinde yatan hastaları ziyaret ettik.Bütün hastalara acil şifalar diliyorum.,"25,9,11"
1941099745906487359,PervinBuldan,HDP,left,Fri Jul 04 11:40:17 +0000 2025,Van İl örgütümüzle beraber cezaevlerinden tahliye olan arkadaşlarımızı evlerinde ziyaret ettik. Geçmiş olsun.,"25,9,22"
1940734896978514257,PervinBuldan,HDP,left,Thu Jul 03 11:30:31 +0000 2025,"Vanda Il örgütümüz, İl Eşbaşkanlarımız ve Milletvekillerimizle birlikte yöre Derneklerini ziyaret ediyoruz. Tillolular Dernegi yönetim ve üyelerine misafirperverliklerinden dolayı teşekkür ediyoruz.","13,26,18"
1940372494416019518,PervinBuldan,HDP,left,Wed Jul 02 11:30:27 +0000 2025,Van il örgütümüz ve İl eş başkanı Veysi Dilekçiyle birlikte Kesk Van Şubesini ziyaret ettik. Kesk şube yönetimine çok teşekkür ediyoruz.,"13,26,22"
1940053503839219982,PervinBuldan,HDP,left,Tue Jul 01 14:22:54 +0000 2025,Cezaevinden yeni çıkan eski İl Eşbaşkanımız Fikret Doğanı Vanda evinde ziyaret ettik. Tekrar geçmiş olsun.,"25,9,11"
1939216176942567926,PervinBuldan,HDP,left,Sun Jun 29 06:55:40 +0000 2025,"Özgürlük, barış ve demokrasi insanı, sevgili Orhan Doğanı aramızdan ayrılışının 18. yıldönümünde sevgi ve minnetle anıyorum.","18,13,26"
1937183200125812970,PervinBuldan,HDP,left,Mon Jun 23 16:17:20 +0000 2025,Allah şifa versin. Bütün dualarımız Emine Annemiz için.,"18,13,26"
1935769726707462529,PervinBuldan,HDP,left,Thu Jun 19 18:40:42 +0000 2025,Vanın bir önceki İl Eşbaşkanı Fikret Doğan bugün tahliye oldu. Geçmiş olsun.,"9,25,22"
1934706595146903992,PervinBuldan,HDP,left,Mon Jun 16 20:16:12 +0000 2025,"Selahattin Demirtaş yazdı, Ferhat Tunç seslendirdi. Sırrı Süreyya Öndere ağıt. Sevgiyle ve minnetle","13,18,26"
1934641885072486499,PervinBuldan,HDP,left,Mon Jun 16 15:59:03 +0000 2025,Barışa İhtiyacım Var Kadın İnsiyatifi ile Barışı konuştuk. Emeği geçen herkese sonsuz teşekkürler.,"13,26,18"
1934185722237317379,PervinBuldan,HDP,left,Sun Jun 15 09:46:26 +0000 2025,"Ali Mendilloğlu, Cano, Ceren ve hepsi. Bu fotoğrafa kalbimi bıraktım.","22,13,26"
